PERMNO,date,TICKER,CUSIP,PRC,RET
84398,20160104,SPY,78462F10,201.0192,-0.013983
84398,20160105,SPY,78462F10,201.36,0.001695
84398,20160106,SPY,78462F10,198.82001,-0.012614
84398,20160107,SPY,78462F10,194.05,-0.023992
84398,20160108,SPY,78462F10,191.923,-0.010961
84398,20160111,SPY,78462F10,192.11,0.000974
84398,20160112,SPY,78462F10,193.6608,0.008072
84398,20160113,SPY,78462F10,188.83,-0.024945
84398,20160114,SPY,78462F10,191.92999,0.016417
84398,20160115,SPY,78462F10,187.81,-0.021466
84398,20160119,SPY,78462F10,188.06,0.001331
84398,20160120,SPY,78462F10,185.64999,-0.012815
84398,20160121,SPY,78462F10,186.69,0.005602
84398,20160122,SPY,78462F10,190.52,0.020515
84398,20160125,SPY,78462F10,187.64,-0.015117
84398,20160126,SPY,78462F10,190.2,0.013643
84398,20160127,SPY,78462F10,188.13,-0.010883
84398,20160128,SPY,78462F10,189.11,0.005209
84398,20160129,SPY,78462F10,193.72079,0.024382
84398,20160201,SPY,78462F10,193.64999,-0.000365
84398,20160202,SPY,78462F10,190.16,-0.018022
84398,20160203,SPY,78462F10,191.3,0.005995
84398,20160204,SPY,78462F10,191.60001,0.001568
84398,20160205,SPY,78462F10,187.95,-0.01905
84398,20160208,SPY,78462F10,185.42,-0.013461
84398,20160209,SPY,78462F10,185.42999,0.000054
84398,20160210,SPY,78462F10,185.27,-0.000863
84398,20160211,SPY,78462F10,182.86,-0.013008
84398,20160212,SPY,78462F10,186.63,0.020617
84398,20160216,SPY,78462F10,189.78,0.016878
84398,20160217,SPY,78462F10,192.88,0.016335
84398,20160218,SPY,78462F10,192.09,-0.004096
84398,20160219,SPY,78462F10,192,-0.000469
84398,20160222,SPY,78462F10,194.78,0.014479
84398,20160223,SPY,78462F10,192.32001,-0.01263
84398,20160224,SPY,78462F10,193.2,0.004576
84398,20160225,SPY,78462F10,195.53999,0.012112
84398,20160226,SPY,78462F10,195.0892,-0.002305
84398,20160229,SPY,78462F10,193.56,-0.007838
84398,20160301,SPY,78462F10,198.11,0.023507
84398,20160302,SPY,78462F10,199,0.004492
84398,20160303,SPY,78462F10,199.77499,0.003894
84398,20160304,SPY,78462F10,200.42999,0.003279
84398,20160307,SPY,78462F10,200.59,0.000798
84398,20160308,SPY,78462F10,198.39999,-0.010918
84398,20160309,SPY,78462F10,199.38,0.00494
84398,20160310,SPY,78462F10,199.53999,0.000802
84398,20160311,SPY,78462F10,202.75999,0.016137
84398,20160314,SPY,78462F10,202.5,-0.001282
84398,20160315,SPY,78462F10,202.17,-0.00163
84398,20160316,SPY,78462F10,203.34,0.005787
84398,20160317,SPY,78462F10,204.63,0.006344
84398,20160318,SPY,78462F10,204.38,0.003908
84398,20160321,SPY,78462F10,204.67,0.001419
84398,20160322,SPY,78462F10,204.56,-0.000537
84398,20160323,SPY,78462F10,203.2092,-0.006603
84398,20160324,SPY,78462F10,203.12,-0.000439
84398,20160328,SPY,78462F10,203.24001,0.000591
84398,20160329,SPY,78462F10,205.1208,0.009254
84398,20160330,SPY,78462F10,206.02,0.004384
84398,20160331,SPY,78462F10,205.52,-0.002427
84398,20160401,SPY,78462F10,206.92,0.006812
84398,20160404,SPY,78462F10,206.25,-0.003238
84398,20160405,SPY,78462F10,204.18919,-0.009992
84398,20160406,SPY,78462F10,206.42,0.010925
84398,20160407,SPY,78462F10,203.95,-0.011966
84398,20160408,SPY,78462F10,204.49921,0.002693
84398,20160411,SPY,78462F10,204.0201,-0.002343
84398,20160412,SPY,78462F10,205.92,0.009312
84398,20160413,SPY,78462F10,208.00079,0.010105
84398,20160414,SPY,78462F10,208.00999,0.000044
84398,20160415,SPY,78462F10,207.78,-0.001106
84398,20160418,SPY,78462F10,209.2392,0.007023
84398,20160419,SPY,78462F10,209.89999,0.003158
84398,20160420,SPY,78462F10,210.10001,0.000953
84398,20160421,SPY,78462F10,208.97,-0.005378
84398,20160422,SPY,78462F10,208.97,0
84398,20160425,SPY,78462F10,208.61,-0.001723
84398,20160426,SPY,78462F10,208.9192,0.001482
84398,20160427,SPY,78462F10,209.35001,0.002062
84398,20160428,SPY,78462F10,207.44749,-0.009088
84398,20160429,SPY,78462F10,206.3308,-0.005383
84398,20160502,SPY,78462F10,207.97,0.007945
84398,20160503,SPY,78462F10,206.15919,-0.008707
84398,20160504,SPY,78462F10,205.00999,-0.005574
84398,20160505,SPY,78462F10,204.97,-0.000195
84398,20160506,SPY,78462F10,205.72,0.003659
84398,20160509,SPY,78462F10,205.88921,0.000823
84398,20160510,SPY,78462F10,208.45,0.012438
84398,20160511,SPY,78462F10,206.5,-0.009355
84398,20160512,SPY,78462F10,206.56,0.000291
84398,20160513,SPY,78462F10,204.75999,-0.008714
84398,20160516,SPY,78462F10,206.78,0.009865
84398,20160517,SPY,78462F10,204.8508,-0.00933
84398,20160518,SPY,78462F10,204.91,0.000289
84398,20160519,SPY,78462F10,204.2,-0.003465
84398,20160520,SPY,78462F10,205.49001,0.006317
84398,20160523,SPY,78462F10,205.21001,-0.001363
84398,20160524,SPY,78462F10,207.87,0.012962
84398,20160525,SPY,78462F10,209.28,0.006783
84398,20160526,SPY,78462F10,209.34,0.000287
84398,20160527,SPY,78462F10,210.24001,0.004299
84398,20160531,SPY,78462F10,209.84,-0.001903
84398,20160601,SPY,78462F10,210.27,0.002049
84398,20160602,SPY,78462F10,210.91,0.003044
84398,20160603,SPY,78462F10,210.28,-0.002987
84398,20160606,SPY,78462F10,211.35001,0.005088
84398,20160607,SPY,78462F10,211.67999,0.001561
84398,20160608,SPY,78462F10,212.37,0.00326
84398,20160609,SPY,78462F10,212.08,-0.001366
84398,20160610,SPY,78462F10,210.07001,-0.009478
84398,20160613,SPY,78462F10,208.4492,-0.007716
84398,20160614,SPY,78462F10,208.03999,-0.001963
84398,20160615,SPY,78462F10,207.75,-0.001394
84398,20160616,SPY,78462F10,208.37,0.002984
84398,20160617,SPY,78462F10,206.52,-0.003703
84398,20160620,SPY,78462F10,207.85001,0.00644
84398,20160621,SPY,78462F10,208.44,0.002839
84398,20160622,SPY,78462F10,208.10001,-0.001631
84398,20160623,SPY,78462F10,210.81,0.013023
84398,20160624,SPY,78462F10,203.13,-0.036431
84398,20160627,SPY,78462F10,199.60001,-0.017378
84398,20160628,SPY,78462F10,203.19971,0.018035
84398,20160629,SPY,78462F10,206.66,0.017029
