Date,Open,High,Low,Close,Adj Close,Volume
2016-12-30,86.099998,86.419998,85.660004,86.290001,79.013107,13617800
2017-01-03,87.339996,87.760002,85.980003,87.230003,79.873833,20550700
2017-01-04,86.959999,87.180000,86.400002,86.910004,80.021156,15266600
2017-01-05,86.809998,87.110001,85.260002,86.110001,79.284569,14300800
2017-01-06,86.389999,86.620003,85.940002,86.120003,79.293770,12893300
2017-01-09,85.730003,86.769997,85.519997,86.180000,79.349007,12806600
2017-01-10,86.070000,86.900002,85.720001,86.430000,79.579185,13989000
2017-01-11,86.430000,87.080002,85.910004,87.080002,80.177681,14713100
2017-01-12,86.760002,87.269997,86.019997,86.239998,79.404236,21337400
2017-01-13,87.110001,88.169998,86.099998,86.699997,79.827789,28296000
2017-01-17,84.930000,85.220001,83.279999,83.550003,76.927467,30024600
2017-01-18,83.629997,84.230003,83.029999,83.940002,77.286583,21270100
2017-01-19,84.059998,84.669998,83.120003,83.300003,76.697304,16555600
2017-01-20,83.430000,83.830002,83.290001,83.669998,77.037964,18436800
2017-01-23,83.300003,84.000000,83.209999,83.709999,77.074799,12179200
2017-01-24,83.919998,85.000000,83.559998,84.720001,78.004738,15175300
2017-01-25,85.839996,86.169998,85.169998,86.029999,79.210899,17551000
2017-01-26,85.949997,86.949997,85.949997,86.750000,79.873833,15962800
2017-01-27,86.660004,86.980003,86.269997,86.930000,80.039566,12535400
2017-01-30,86.190002,86.500000,85.320000,86.029999,79.210899,13661900
2017-01-31,85.599998,86.150002,84.089996,84.629997,77.921867,15655100
