PERMNO,date,TICKER,RET
10107,20040102,MSFT,0.002923
10107,20040105,MSFT,0.025137
10107,20040106,MSFT,0.003554
10107,20040107,MSFT,-0.001062
10107,20040108,MSFT,-0.001772
10107,20040109,MSFT,-0.017756
10107,20040112,MSFT,-0.003254
10107,20040113,MSFT,-0.005078
10107,20040114,MSFT,0.009843
10107,20040115,MSFT,-0.005776
10107,20040116,MSFT,0.009804
10107,20040120,MSFT,0.010428
10107,20040121,MSFT,0.007117
10107,20040122,MSFT,-0.010247
10107,20040123,MSFT,0.016780
10107,20040126,MSFT,0.011236
10107,20040127,MSFT,-0.019097
10107,20040128,MSFT,-0.019115
10107,20040129,MSFT,0.007218
10107,20040130,MSFT,-0.009316
10107,20040202,MSFT,-0.009042
10107,20040203,MSFT,-0.004015
10107,20040204,MSFT,-0.010260
10107,20040205,MSFT,-0.001851
10107,20040206,MSFT,0.004451
10107,20040209,MSFT,-0.006647
10107,20040210,MSFT,0.004461
10107,20040211,MSFT,0.004811
10107,20040212,MSFT,-0.007366
10107,20040213,MSFT,-0.013358
10107,20040217,MSFT,0.015043
10107,20040218,MSFT,-0.008151
10107,20040219,MSFT,-0.011580
10107,20040220,MSFT,0.004157
10107,20040223,MSFT,0.001505
10107,20040224,MSFT,0.010147
10107,20040225,MSFT,-0.006696
10107,20040226,MSFT,-0.007491
10107,20040227,MSFT,0.001132
10107,20040301,MSFT,0.006408
10107,20040302,MSFT,-0.011611
10107,20040303,MSFT,-0.000758
10107,20040304,MSFT,0.000000
10107,20040305,MSFT,-0.000758
10107,20040308,MSFT,-0.019734
10107,20040309,MSFT,-0.004259
10107,20040310,MSFT,-0.013608
10107,20040311,MSFT,-0.011037
10107,20040312,MSFT,0.011558
10107,20040315,MSFT,-0.008668
10107,20040316,MSFT,0.000795
10107,20040317,MSFT,-0.001986
10107,20040318,MSFT,-0.009550
10107,20040319,MSFT,-0.010446
10107,20040322,MSFT,-0.005278
10107,20040323,MSFT,-0.014286
10107,20040324,MSFT,0.010766
10107,20040325,MSFT,0.031954
10107,20040326,MSFT,-0.006352
10107,20040329,MSFT,0.011187
10107,20040330,MSFT,-0.004346
10107,20040331,MSFT,-0.010714
10107,20040401,MSFT,0.006017
10107,20040402,MSFT,0.030702
10107,20040405,MSFT,0.003907
10107,20040406,MSFT,-0.005819
10107,20040407,MSFT,-0.008139
10107,20040408,MSFT,-0.004299
10107,20040412,MSFT,0.005102
10107,20040413,MSFT,-0.006248
10107,20040414,MSFT,0.002358
10107,20040415,MSFT,-0.011564
10107,20040416,MSFT,-0.002181
10107,20040419,MSFT,0.014706
10107,20040420,MSFT,-0.007834
10107,20040421,MSFT,0.004737
10107,20040422,MSFT,0.019646
10107,20040423,MSFT,0.061272
10107,20040426,MSFT,-0.010893
10107,20040427,MSFT,-0.000734
10107,20040428,MSFT,-0.024247
10107,20040429,MSFT,-0.003012
10107,20040430,MSFT,-0.013218
10107,20040503,MSFT,0.008419
10107,20040504,MSFT,-0.000759
10107,20040505,MSFT,-0.001139
10107,20040506,MSFT,-0.006844
10107,20040507,MSFT,-0.013017
10107,20040510,MSFT,0.005818
10107,20040511,MSFT,0.000386
10107,20040512,MSFT,0.000000
10107,20040513,MSFT,0.006168
10107,20040514,MSFT,-0.009195
10107,20040517,MSFT,-0.012374
10107,20040518,MSFT,0.011355
10107,20040519,MSFT,-0.008130
10107,20040520,MSFT,0.004293
10107,20040521,MSFT,0.006218
10107,20040524,MSFT,-0.005021
10107,20040525,MSFT,0.013199
10107,20040526,MSFT,0.001533
10107,20040527,MSFT,0.001913
10107,20040528,MSFT,0.001527
10107,20040601,MSFT,-0.004575
10107,20040602,MSFT,0.000766
10107,20040603,MSFT,-0.009185
10107,20040604,MSFT,0.002318
10107,20040607,MSFT,0.018497
10107,20040608,MSFT,0.006432
10107,20040609,MSFT,-0.004887
10107,20040610,MSFT,0.011334
10107,20040614,MSFT,0.004856
10107,20040615,MSFT,0.018773
10107,20040616,MSFT,-0.003102
10107,20040617,MSFT,0.016435
10107,20040618,MSFT,0.020923
10107,20040621,MSFT,0.000000
10107,20040622,MSFT,-0.002116
10107,20040623,MSFT,0.000353
10107,20040624,MSFT,0.003180
10107,20040625,MSFT,0.006340
10107,20040628,MSFT,-0.010150
10107,20040629,MSFT,0.007779
10107,20040630,MSFT,0.002105
10107,20040701,MSFT,0.002451
10107,20040702,MSFT,-0.002096
10107,20040706,MSFT,-0.019251
10107,20040707,MSFT,0.002855
10107,20040708,MSFT,-0.016370
10107,20040709,MSFT,0.007960
10107,20040712,MSFT,0.001077
10107,20040713,MSFT,-0.010398
10107,20040714,MSFT,0.019203
10107,20040715,MSFT,-0.009243
10107,20040716,MSFT,-0.013994
10107,20040719,MSFT,0.017103
10107,20040720,MSFT,0.013238
10107,20040721,MSFT,0.019068
10107,20040722,MSFT,0.004851
10107,20040723,MSFT,-0.033448
10107,20040726,MSFT,0.022476
10107,20040727,MSFT,-0.007676
10107,20040728,MSFT,0.004923
10107,20040729,MSFT,-0.003499
10107,20040730,MSFT,0.000351
10107,20040802,MSFT,0.001053
10107,20040803,MSFT,-0.015778
10107,20040804,MSFT,-0.000356
10107,20040805,MSFT,-0.018888
10107,20040806,MSFT,-0.014166
10107,20040809,MSFT,0.001474
10107,20040810,MSFT,0.019868
10107,20040811,MSFT,-0.011183
10107,20040812,MSFT,-0.019336
10107,20040813,MSFT,0.005208
10107,20040816,MSFT,0.002591
10107,20040817,MSFT,-0.001477
10107,20040818,MSFT,0.015157
10107,20040819,MSFT,-0.012382
10107,20040820,MSFT,0.002950
10107,20040823,MSFT,0.004412
